"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115021318941519,-2.18766284561632,0.0013717099556284,0.0100594981158632,0.000376267304926202,-2.18250933051015,0.00124225554159669,0.0108643146101486,0.000402928890794064,-2.18857591296233,0.00443591367996858,0.0101032880556758,0.00142052773445204,-2.18530976160126,0.00366610657451617,0.00918056271852823,0.00133154871744027
"11422-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115574904880389,-2.18304792710245,0.00141401158457407,0.00968138008793282,0.000383800993438473,-2.1774133962177,0.00126761312962907,0.0102615740341524,0.000410124841896232,-2.18585873901572,0.0046028536700447,0.00719123939353827,0.00130043067648394,-2.17938501546988,0.00370538589456827,0.00804093791090416,0.00137290968378269
"11422-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115135529282271,-2.18296732873195,0.00139791360595895,0.00837260889178794,0.000385258903071848,-2.17836372742467,0.00126259250317969,0.00884210445006946,0.000411571046418711,-2.18638273763435,0.00464219080370821,0.00590863498307644,0.00127444913624703,-2.18026570241481,0.00333741096106379,0.00735268922178367,0.00127026215382699
"11422-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115685674780775,-2.19175609665296,0.00139748515706695,0.0135819718230071,0.000379029071496886,-2.18297863681973,0.00125937831232555,0.0137879704831177,0.00040532682035258,-2.18594800421901,0.00438919944996922,0.0119535789136887,0.00117802737898109,-2.19173968896374,0.00387534660065585,0.0136749589949022,0.00130053242189772
"11422-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115183073807935,-2.17981895482419,0.00141074341294158,0.00742142349349345,0.000397372002506259,-2.17637449862305,0.00126976097176103,0.00824614845617314,0.000427701753555278,-2.16786156281237,0.00452026622260124,0.00662403804510681,0.00128781380087658,-2.179955937285,0.00503814326378591,0.00747077175888571,0.00192431011621054
"11422-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115784403004501,-2.1772094871146,0.00139390398620534,0.00855708347027397,0.000394149540176346,-2.17269425118894,0.00125422982914069,0.00920201764317706,0.000422613498377873,-2.16943385691474,0.00452782661154389,0.00376029807887224,0.00144271494354113,-2.17208326826253,0.00431246364244786,0.00667300196622538,0.00169768410547602
"11422-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115854157833061,-2.18251878451573,0.00138592817141315,0.0106375816511369,0.000378461868359478,-2.17699477525401,0.00125545147116708,0.0113675296368744,0.000404278507506447,-2.18343922780847,0.00420668342450006,0.0106375598633146,0.00116846215758458,-2.18644914262864,0.00329746181748043,0.0121252698498256,0.00111479489733488
"11422-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115432860018487,-2.18782160706001,0.00139652092593614,0.0112499881557242,0.00038072578493743,-2.18110088442153,0.00126207375609189,0.0116596420458544,0.00040848886709721,-2.21236244648673,0.004552547870661,0.0177578104855096,0.00118304980506292,-2.19113698692796,0.00406764687286264,0.0124852025511026,0.00144994622378056
"11422-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115341744168717,-2.1864690254667,0.00142581660656416,0.0100873990086157,0.000384273131872973,-2.17892758297325,0.00127661475282118,0.0097709052680743,0.000407395252411352,-2.15870657695403,0.0044597207160158,0.00593473878319169,0.00129363577072926,-2.18725641496081,0.003641941840306,0.0104001755156551,0.00131237316078146
"11422-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115920877964284,-2.18199592390197,0.00139105235749479,0.0109243504336446,0.000390231838090634,-2.17419216957175,0.00125173706877921,0.0106962493837546,0.000420824520937363,-2.17707951762744,0.00455500251258123,0.00817506269386422,0.00132948468751865,-2.1828392298648,0.0034868551480034,0.0113650955450271,0.00141797930708611
