"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113390772207661,-2.20306404291004,0.0014369468080854,0.0105623840809585,0.000379649524541074,-2.19693813729938,0.00135076611411802,0.0110677290618998,0.000408198954004433,-2.20358553341362,0.00453239183900902,0.00852883811269633,0.00142420225851699,-2.2026892261645,0.00191154203240513,0.0103932270741942,0.000538515479870946
"11422-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113696134092866,-2.20056496826971,0.00144800351731784,0.0100851387968614,0.000391119520135267,-2.19444753864413,0.00130977779791955,0.0105479754256572,0.000421635802957367,-2.19340449311641,0.00472750296910583,0.00834587071053939,0.00127512425462725,-2.20015488718703,0.00180217650068673,0.00976990310954414,0.000560047375487098
"11422-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113631538824745,-2.2005282411843,0.00142739389613875,0.0100961894107641,0.000393404497899532,-2.19474310958264,0.00129425300715504,0.0105375510815713,0.000423436289599595,-2.20237968082291,0.00475756390963738,0.0112196970715169,0.00128620703589766,-2.2009515490943,0.00184277031925573,0.0102298837789755,0.000525166514044888
"11422-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113809858478182,-2.20010964327258,0.00150602550053258,0.0102839429206861,0.000386641701627312,-2.19420240942877,0.00139687143509849,0.0107653028163851,0.000414396690763208,-2.20670075419338,0.00450324835884454,0.0122488372434659,0.001185744696956,-2.20104385557867,0.00218499877254801,0.0105355597527588,0.000572714447459201
"11422-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.11370841124457,-2.20022976833952,0.00142675903410486,0.010401405642891,0.000401604377794727,-2.19427835358875,0.00128768972163108,0.0109430020927099,0.000435179686061952,-2.20002488578463,0.00472363265378313,0.0112161299018532,0.00147339014313218,-2.20023105587906,0.00173293261089441,0.0103233339049164,0.000498688212644161
"11422-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113378387284495,-2.20271798256482,0.00143731339712275,0.0103999357367207,0.000397674108109523,-2.19660069129301,0.00129523253959082,0.0108343909225512,0.000426223561058782,-2.20368412299075,0.00475217856197664,0.0093523378778209,0.00145217511762434,-2.2017303482963,0.00197951428568905,0.0099939503992614,0.000616778817494251
"11422-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.11380645660019,-2.19729910757137,0.00139878648072293,0.00950003856848387,0.000382912829647811,-2.19197057708076,0.00126596377481852,0.0100501999605729,0.000412185403030546,-2.19441353773254,0.00425780930706536,0.00918620469481773,0.00103485959483949,-2.19666939313389,0.00156171476896422,0.00916187012511321,0.000490027838803988
"11422-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.11362235546462,-2.20031940807455,0.00142540218511838,0.00995164005706974,0.000390644344929288,-2.19461467679362,0.0012959150124813,0.010429470196394,0.000422287382751064,-2.19849447588508,0.00440528304978329,0.00917935749271039,0.00106309542870898,-2.20021865972247,0.00173151108947004,0.0100908588832915,0.000539415865942071
"11422-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.11391335373333,-2.19922360131989,0.00143762688436123,0.0101914010259112,0.000388199344431151,-2.19296034229928,0.00129255884974893,0.0105936562998346,0.000416751260415277,-2.19308942452485,0.00457657677788536,0.00909172574925813,0.00133934420230596,-2.19862648874072,0.00180902545347224,0.0100610524737834,0.000531905835013866
"11422-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113616233122795,-2.19849414191451,0.00151622561030644,0.00957563352778389,0.000398286818133444,-2.1926314601948,0.00138222501099214,0.00980149612983722,0.000425969191657723,-2.19725423862765,0.00451104647412829,0.00890212573133236,0.00106837120506843,-2.19836431242455,0.00182673735959727,0.00971646911694238,0.000503251101395359
